Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
43590484;1000873162828355200;63741746120107;(-0.030, -0.088, -0.256);(0.286, 1.011, 358.349);VALID;-0.0478529334068298, -0.0265394691377878, 0.998501777648926;0, 0, 0;VALID;-0.0359231308102608, -0.029166417196393, 0.998928844928741;-0.0330438502132893, 0, 0;0.147453472018242;VALID;-0.0597755834460258, -0.0239085573703051, 0.997925460338593;0.0330438502132893, 0, 0;0.163412883877754;2;1
43590485;1000873162838475800;63741746120107;(-0.030, -0.088, -0.256);(0.286, 1.011, 358.349);VALID;-0.0477643124759197, -0.0266816075891256, 0.998502194881439;0, 0, 0;VALID;-0.0359035991132259, -0.0291343200951815, 0.998930513858795;-0.0330438502132893, 0, 0;0.147282212972641;VALID;-0.0596180148422718, -0.0242249760776758, 0.997927248477936;0.0330438502132893, 0, 0;0.161985531449318;2;1
43590486;1000873162848460000;63741746120124;(-0.030, -0.088, -0.256);(0.274, 1.019, 358.352);VALID;-0.0476489514112473, -0.027130538597703, 0.998495638370514;0, 0, 0;VALID;-0.0357558205723763, -0.0297273620963097, 0.998918294906616;-0.0330438502132893, 0, 0;0.146213859319687;VALID;-0.0595350116491318, -0.024529691785574, 0.9979248046875;0.0330438502132893, 0, 0;0.161756858229637;2;1
43590487;1000873162858513800;63741746120124;(-0.030, -0.088, -0.256);(0.274, 1.019, 358.352);VALID;-0.0475260689854622, -0.0272246655076742, 0.998498916625977;0, 0, 0;VALID;-0.0356854014098644, -0.029756136238575, 0.99891996383667;-0.0330438502132893, 0, 0;0.146836116909981;VALID;-0.0593597590923309, -0.0246891975402832, 0.997931301593781;0.0330438502132893, 0, 0;0.162040427327156;2;1
43590488;1000873162868495700;63741746120141;(-0.030, -0.088, -0.256);(0.275, 1.017, 358.353);VALID;-0.0474429503083229, -0.0275123193860054, 0.998494982719421;0, 0, 0;VALID;-0.0356178693473339, -0.0301691964268684, 0.998910009860992;-0.0330438502132893, 0, 0;0.14574770629406;VALID;-0.0592610575258732, -0.0248513985425234, 0.997933149337769;0.0330438502132893, 0, 0;0.16117437183857;2;1
43590489;1000873162878515100;63741746120158;(-0.030, -0.088, -0.256);(0.268, 1.014, 358.351);VALID;-0.047298863530159, -0.0277348291128874, 0.998495638370514;0, 0, 0;VALID;-0.0354291833937168, -0.0305572859942913, 0.998904883861542;-0.0330438502132893, 0, 0;0.145677924156189;VALID;-0.0591614916920662, -0.0249082371592522, 0.997937619686127;0.0330438502132893, 0, 0;0.161045297980309;2;1
43590490;1000873162888477200;63741746120158;(-0.030, -0.088, -0.256);(0.268, 1.014, 358.351);VALID;-0.0472490377724171, -0.0278035085648298, 0.998496115207672;0, 0, 0;VALID;-0.0353755056858063, -0.0308163948357105, 0.998898863792419;-0.0330438502132893, 0, 0;0.145555555820465;VALID;-0.059115469455719, -0.0247864443808794, 0.99794340133667;0.0330438502132893, 0, 0;0.160019785165787;2;1
43590491;1000873162898532200;63741746120174;(-0.031, -0.088, -0.256);(0.281, 1.020, 358.348);VALID;-0.0471039637923241, -0.0279390513896942, 0.9984992146492;0, 0, 0;VALID;-0.035292886197567, -0.0311466231942177, 0.998891532421112;-0.0330438502132893, 0, 0;0.145106181502342;VALID;-0.0589079782366753, -0.0247272904962301, 0.997957110404968;0.0330438502132893, 0, 0;0.159865662455559;2;1
43590492;1000873162908612800;63741746120174;(-0.031, -0.088, -0.256);(0.281, 1.020, 358.348);VALID;-0.0469599813222885, -0.0280703920871019, 0.998502314090729;0, 0, 0;VALID;-0.0351814143359661, -0.0312808491289616, 0.998891294002533;-0.0330438502132893, 0, 0;0.145757883787155;VALID;-0.0587315410375595, -0.0248557478189468, 0.997964322566986;0.0330438502132893, 0, 0;0.16117437183857;2;1
43590493;1000873162918615800;63741746120191;(-0.031, -0.088, -0.257);(0.289, 1.014, 358.359);VALID;-0.0467371754348278, -0.0282278787344694, 0.998508274555206;0, 0, 0;VALID;-0.0348084233701229, -0.0315346419811249, 0.998896360397339;-0.0330438502132893, 0, 0;0.144672051072121;VALID;-0.0586587600409985, -0.024916784837842, 0.997967064380646;0.0330438502132893, 0, 0;0.161033138632774;2;1
